PEKING UNIVERSITY	北京大学
UNIVERSITY OF EASTERN FINLAND	芬兰东部大学
ZUNYI MEDICAL COLLEGE	遵义医科大学
VIROPHARMA	VIROPHARMA
QINGHAI UNIVERSITY	青海大学
UNIVERSITY OF SPLIT	斯普利特大学
YAMAGATA UNIVERSITY	山形大学
UNIVERSITY OF SOUTH ALABAMA	南阿拉巴马大学
SHIRE PLC	希尔制药集团
NATIONAL CHIAYI UNIVERSITY	国立嘉义大学
CAMBRIDGE HEALTH ALLIANCE	剑桥健康联盟
HARBIN INSTITUTE OF TECHNOLOGY SHENZHEN GRADUATE SCHOOL	哈尔滨理工大学深圳研究生院
CENTRAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	中台科技大学
NINGBO INSTITUTE OF TECHNOLOGY, ZHEJIANG UNIVERSITY	浙江大学宁波理工学院
KYUSHU INSTITUTE OF TECHNOLOGY	九州理工学院
KOCHI UNIVERSITY OF TECHNOLOGY	高知理工大学
CALIFORNIA STATE UNIVERSITY, FULLERTON	加州州立大学, 富丽敦
UNIVERSITY OF LUXEMBOURG	卢森堡大学
LINK?PING UNIVERSITY	林雪平大学
NEW ZEALAND INSTITUTE FOR CROP AND FOOD RESEARCH	新西兰作物和食品研究研究所
NATIONAL CHI NAN UNIVERSITY	国立暨南国际大学
WOODS HOLE OCEANOGRAPHIC INSTITUTION	伍兹洞海洋学机构
INSTITUT NATIONAL DE LA RECHERCHE SCIENTIFIQUE	国家德拉谜科学研究
TRINITY COLLEGE	三位一体学院
UNIVERSITY OF CINCINNATI ACADEMIC HEALTH CENTER	辛辛那提大学学术健康中心
ZHEJIANG GONGSHANG UNIVERSITY	浙江工商大学
BURTON SNOWBOARDS	伯顿滑雪板
LIVERPOOL SCHOOL OF TROPICAL MEDICINE	利物浦热带医学学院
UNIVERSITY OF CONNECTICUT HEALTH CENTER	康涅狄格大学健康中心
BROADCOM	博通
CANCER RESEARCH INSTITUTE	癌症研究所
GENERAL ATOMICS	原子将军
OSLO UNIVERSITY HOSPITAL	奥斯陆大学医院
RUSH UNIVERSITY MEDICAL CENTER	拉什大学医疗中心
ADOBE SYSTEMS	ADOBE 系统
FUJI XEROX	富士施乐
UNIVERSITY OF ULM	乌尔姆大学
AMERICAN PETROLEUM INSTITUTE	美国石油研究所
MONTREAL GENERAL HOSPITAL	蒙特利尔综合医院
BUCK INSTITUTE FOR RESEARCH ON AGING	巴克老龄化研究研究所
NORTH SICHUAN MEDICAL COLLEGE	北川医科大学
CHONGQING THREE GORGES UNIVERSITY	重庆三峡学院
WANNAN MEDICAL COLLEGE	皖南医科大学
UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER	北德克萨斯大学健康科学中心
LSI CORPORATION	LSI 公司
SEATTLE CHILDREN'S	西雅图儿童
SETON HALL UNIVERSITY	西东大学
ASTRAZENECA	阿斯利康
UNIVERSITY OF PERUGIA	佩鲁贾大学
UNIVERSITY OF POTSDAM	波茨坦大学
NEC CORPORATION OF AMERICA	美国 NEC 公司
BNP PARIBAS	法国巴黎银行
SHANGHAI INTERNATIONAL STUDIES UNIVERSITY	上海外国语大学
SHAOXING UNIVERSITY	绍兴大学
WUYI UNIVERSITY	武夷大学
ALLEGHENY GENERAL HOSPITAL	阿勒格尼综合医院
ACADEMY OF MILITARY SCIENCE	军事科学院
BEIJING UNITED FAMILY HOSPITAL	北京联合家庭医院
FUJITSU	富士通
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC	捷克共和国科学院
SHRINERS HOSPITALS FOR CHILDREN	施赖纳斯儿童医院
HEBEI UNIVERSITY	河北大学
WASHINGTON STATE UNIVERSITY VANCOUVER	华盛顿州立大学温哥华分校
ENZON PHARMACEUTICALS, INC.	恩森制药公司
SHANDONG UNIVERSITY OF FINANCE AND ECONOMICS	山东财经大学
SOUTH UNIVERSITY	中南大学
ENVIRONMENTAL MOLECULAR SCIENCES LABORATORY	环境分子科学实验室
BATTELLE MEMORIAL INSTITUTE	巴特尔纪念研究所
CAPITAL UNIVERSITY	首都大学
AMERICAN MUSEUM OF NATURAL HISTORY	美国自然历史博物馆
VAN ANDEL INSTITUTE	VAN 温安洛研究所
UNIVERSITY OF VIENNA	维也纳大学
UNIVERSITY OF HULL	赫尔大学
REALTEK	REALTEK
UNIVERSITY OF HAWAII	夏威夷大学
CALIFORNIA DEPARTMENT OF PUBLIC HEALTH	加州公共卫生局
CHANG JUNG CHRISTIAN UNIVERSITY	长荣基督教大学
ONTARIO INSTITUTE FOR CANCER RESEARCH	安大略省癌症研究所
NATIONAL INSTITUTE OF INFORMATION AND COMMUNICATIONS TECHNOLOGY	国家信息和通信技术研究所
HUNAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	湖南中医药大学
SAARLAND UNIVERSITY	萨尔大学
ROSIE HOSPITAL	罗西医院
CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	成都中医药大学
SIEMENS	西门子
CELGENE	新基
OKAYAMA UNIVERSITY OF SCIENCE	冈山科学大学
WESTERN CAROLINA UNIVERSITY	西卡罗莱纳大学
UNIVERSITY OF LILLE	里尔大学
AALTO UNIVERSITY	阿尔托大学
UNIVERSITY OF STUTTGART	斯图加特大学
UNIVERSITY OF OULU	奥卢大学
UNIVERSITY MEDICAL CENTER	大学医疗中心
NXP SEMICONDUCTORS	恩智浦半导体
CHINA MOBILE RESEARCH INSTITUTE	中国移动研究所
PALL CORPORATION	波尔公司
SEQUENOM, INC.	SEQUENOM 公司
UNIVERSITY OF TEXAS AT BROWNSVILLE	德克萨斯大学布朗斯维尔分校
HAMPTON UNIVERSITY	汉普顿大学
RYERSON UNIVERSITY	瑞尔森大学
GUANGZHOU UNIVERSITY OF CHINESE MEDICINE	广州中医药大学
STATE GRID CORPORATION OF CHINA	中国国家电网公司
MOUNT SINAI ST. LUKE'S AND MOUNT SINAI ROOSEVELT	西奈山圣卢克和西奈山罗斯福
UNIVERSITY OF CANBERRA	堪培拉大学
UNIVERSITY OF MONTPELLIER	蒙彼利埃大学
CHINESE ACADEMY OF ENGINEERING	中国工程学院
UNITED AIRLINES	联合航空公司
LANGLEY RESEARCH CENTER	兰利研究中心
HUBEI UNIVERSITY OF MEDICINE	湖北医科大学
UNITED KINGDOM MINISTRY OF JUSTICE	联合王国司法部
NATIONAL PINGTUNG UNIVERSITY OF SCIENCE AND TECHNOLOGY	国立屏东科技大学
UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES	健康科学制服服务大学
CHEMNITZ UNIVERSITY OF TECHNOLOGY	开姆尼茨理工大学
NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY	新墨西哥矿业和技术研究所
UNIVERSITY OF COLORADO HOSPITAL	科罗拉多大学医院
AREVA	阿海珐
FEDERAL RESERVE BANK OF ST. LOUIS	圣路易斯联邦储备银行
UNIVERSITY OF MISSOURI–KANSAS CITY	密苏里大学堪萨斯分校
CANADIAN FOREST SERVICE	加拿大森林事务处
UNIVERSITY OF LIMERICK	利默里克大学
JIMEI UNIVERSITY	集美大学
INTERNATIONAL MONETARY FUND	国际货币基金组织
ACADEMIC CENTER FOR DENTISTRY AMSTERDAM	阿姆斯特丹牙科学术中心
HEART AND STROKE FOUNDATION OF CANADA	加拿大心脏和中风基金会
UNIVERSITY OF DAYTON RESEARCH INSTITUTE	代顿大学研究所
SCIENCE COLLEGE	科学学院
INTERNATIONAL CENTRE FOR GENETIC ENGINEERING AND BIOTECHNOLOGY	国际遗传工程和生物技术中心
MIE UNIVERSITY	三重县大学
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO	北卡罗来纳大学格林斯伯勒分校
GULF COAST REGIONAL BLOOD CENTER	海湾沿岸区域血液中心
UNIVERSITY OF NORTHERN IOWA	北爱荷华州大学
CANADIAN LIGHT SOURCE	加拿大光源
VMWARE	Vmware
PRINCESS MARGARET CANCER CENTRE	玛格丽特公主癌症中心
TUFTS MEDICAL CENTER	塔夫茨医疗中心
ASHLAND INC.	阿什兰公司
LANDCARE RESEARCH	土地保护研究
LOUISIANA STATE UNIVERSITY SYSTEM	路易斯安那州立大学系统
ZHAOQING UNIVERSITY	肇庆大学
AALBORG UNIVERSITY	奥尔堡大学
SOUTHWEST UNIVERSITY OF SCIENCE AND TECHNOLOGY	西南科技大学
GANNON UNIVERSITY	加努恩大学
CHUNG YUAN CHRISTIAN UNIVERSITY	中原基督教大学
SAMSUNG MEDICAL CENTER	三星医疗中心
AUBURN UNIVERSITY	奥本大学
JOHN L. SCOTT	约翰 L. 斯科特
EUROPEAN ATOMIC ENERGY COMMUNITY	欧洲原子能共同体
UNIVERSITY OF ROCHESTER MEDICAL CENTER	罗切斯特大学医学中心
AMERICAN COLLEGE OF SURGEONS	美国外科医生学院
WORCESTER POLYTECHNIC INSTITUTE	伍斯特理工学院
FOLKWANG UNIVERSITY OF THE ARTS	富特旺根艺术大学
UNIVERSITY OF WEST LONDON	西伦敦大学
RAND CORPORATION	兰特公司
UNIVERSITY OF BEDFORDSHIRE	贝德福德郡大学
NEW YORK BLOOD CENTER	纽约血液中心
HUAIBEI NORMAL UNIVERSITY	淮北师范大学
UNIVERSITY OF AGDER	阿哥德大学
TOSHIBA	东芝
ALBERT EINSTEIN MEDICAL CENTER	阿尔伯特·爱因斯坦医疗中心
KENT STATE UNIVERSITY	肯特州立大学
ST. PAUL'S HOSPITAL	圣保罗医院
GARVAN INSTITUTE OF MEDICAL RESEARCH	加文医学医学研究所
SCHLUMBERGER	斯伦贝谢
CALIPER LIFE SCIENCES	卡尺生命科学
MICROSOFT RESEARCH ASIA (CHINA)	微软研究亚洲 (中国)
SOFTWARE ENGINEERING INSTITUTE	软件工程研究所
TOYOTA TECHNOLOGICAL INSTITUTE	丰田技术研究院
UNIVERSITY OF BERN	伯尔尼大学
VIENNA UNIVERSITY OF TECHNOLOGY	维也纳理工大学
UNIVERSITY OF ROSTOCK	罗斯托克大学
TUSKEGEE UNIVERSITY	塔斯基吉大学
SHAANXI UNIVERSITY OF TECHNOLOGY	陕西工业大学
GENETICS INSTITUTE, INC.	遗传学研究所公司
SANTA CLARA UNIVERSITY	圣克拉拉大学
GIFU PHARMACEUTICAL UNIVERSITY	岐阜药科大学
SCIENCES PO	巴黎政治大学
SOJO UNIVERSITY	崇城大学
TAIPEI MEDICAL UNIVERSITY	台北医科大学
VASSAR COLLEGE	瓦萨学院
APPLIED SCIENCE PRIVATE UNIVERSITY	应用科学私立大学
CERES, INC.	谷神星公司
ROCKY MOUNTAIN LABORATORIES	洛基山脉实验室
GLION INSTITUTE OF HIGHER EDUCATION	格里昂高等教育学院
DANA CORPORATION	达纳公司
UNIVERSITY OF LISBON	里斯本大学
BEIJING TONGREN HOSPITAL	北京同仁医院
SOUTHERN CALIFORNIA GAS COMPANY	南加州煤气公司
LULE? UNIVERSITY OF TECHNOLOGY	律勒欧萨摩斯?技术大学
CHUNGBUK NATIONAL UNIVERSITY	忠北国立大学
HEBEI UNIVERSITY OF SCIENCE AND TECHNOLOGY	河北科技大学
THOMAS JEFFERSON UNIVERSITY HOSPITAL	托马斯·杰斐逊大学医院
NATIONAL YANG-MING UNIVERSITY	国立阳明大学
KUWAIT INSTITUTE FOR SCIENTIFIC RESEARCH	科威特科学研究所
KAO CORPORATION	花王公司
WISTAR INSTITUTE	威斯达研究所
MINISTRY OF ENVIRONMENTAL PROTECTION OF THE PEOPLE'S REPUBLIC OF CHINA	中华人民共和国环境保护部
ACCENTURE	埃森哲
MCGILL UNIVERSITY HEALTH CENTRE	麦吉尔大学健康中心
MENTAL HEALTH RESEARCH INSTITUTE	心理健康研究所
UTSUNOMIYA UNIVERSITY	宇都宫大学
ARKANSAS STATE UNIVERSITY	阿肯色州立大学
NOKIA NETWORKS	诺基亚网络
INNER MONGOLIA UNIVERSITY	内蒙古大学
CALIFORNIA INSTITUTE FOR QUANTITATIVE BIOSCIENCES	加利福尼亚定量生物科学研究所
BEIJING INFORMATION SCIENCE & TECHNOLOGY UNIVERSITY	北京信息科技大学
UNIVERSITY OF PRETORIA	比勒陀利亚大学
WILLIAM PATERSON UNIVERSITY	威廉帕特森大学
YOUNGSTOWN STATE UNIVERSITY	州立扬斯敦大学
KINDAI UNIVERSITY	近代大学
COLLEGE OF WILLIAM & MARY	威廉玛丽学院
SOUTH CAROLINA DEPARTMENT OF HEALTH AND ENVIRONMENTAL CONTROL	南卡罗来纳州卫生与环境控制部
JIANGHAN UNIVERSITY	江汉大学
UNIVERSITY OF LOUISIANA AT LAFAYETTE	路易斯安那州立大学拉斐特分校
EXELIXIS	EXELIXIS
TOKAI UNIVERSITY	东海大学
ASTRA	阿斯特拉
ANALYSIS GROUP	分析组
UCL INSTITUTE OF NEUROLOGY	加州大学洛杉矶分校神经病学研究所
EBAY	易趣
TIANJIN UNIVERSITY OF COMMERCE	天津商业大学
DELPHI AUTOMOTIVE	德尔福汽车
EPSON	爱普生
PLANT GENOME MAPPING LABORATORY	植物基因组测绘实验室
SANDIA NATIONAL LABORATORIES	桑迪亚国家实验室
UNIVERSITE DE TECHNOLOGIE DE BELFORT-MONTBELIARD	贝尔福-蒙比利亚工程技术大学
INSTITUT GUSTAVE ROUSSY	古贝拉吉奥柏学院
BASCOM PALMER EYE INSTITUTE	巴斯科姆帕尔默眼科研究所
APRIL	四月
HELMHOLTZ-ZENTRUM BERLIN	亥姆霍兹-柏林
MEDIATEK	联发科
BILKENT UNIVERSITY	比尔肯特大学
INCYTE	INCYTE
MINISTRY OF RAILWAYS	铁道部
UNIVERSITY OF SCIENCE AND TECHNOLOGY, LIAONING	辽宁科技大学
PENN STATE COLLEGE OF COMMUNICATIONS	宾夕法尼亚州立通信学院
VICTORIA UNIVERSITY OF WELLINGTON	惠灵顿维多利亚大学
SHANDONG JIANZHU UNIVERSITY	山东建筑大学
NATIONAL INSTITUTE OF EDUCATION	国立教育学院
MAINE MEDICAL CENTER	缅因州医疗中心
UNIVERSITY OF TOYAMA	富山大学
UNIVERSITY OF S?O PAULO	圣保罗大学
TYNDALL NATIONAL INSTITUTE	廷德尔空军基地国家研究所
EATON CORPORATION	伊顿公司
AMERICAN CYANAMID	美国氰胺
CHANGSHU INSTITUTE OF TECHNOLOGY	常熟理工学院
XINYANG NORMAL UNIVERSITY	信阳师范大学
MEDSTAR WASHINGTON HOSPITAL CENTER	MEDSTAR 华盛顿医院中心
UNIVERSITY OF DüSSELDORF	杜塞尔多夫大学
SOLARMER ENERGY, INC.	SOLARMER 能源公司
SYSTEMS RESEARCH INSTITUTE	系统研究所
SOCIETY OF ACTUARIES	精算师学会
TEL AVIV UNIVERSITY	特拉维夫大学
TELLABS	TELLABS
COMSATS INSTITUTE OF INFORMATION TECHNOLOGY	学院信息技术研究所
GLOBAL ALLIANCE IN MANAGEMENT EDUCATION	管理教育全球联盟
FUGRO	辉固
YAMAGUCHI UNIVERSITY	山口大学
GEOLOGICAL MUSEUM	地质博物馆
ARISTOTLE UNIVERSITY OF THESSALONIKI	塞萨洛尼基亚里士多德大学
NATIONAL INSTITUTE OF RADIOLOGICAL SCIENCES	国立放射科学研究所
COPENHAGEN UNIVERSITY HOSPITAL	哥本哈根大学医院
MASSACHUSETTS MENTAL HEALTH CENTER	马萨诸塞州心理健康中心
SHIJIAZHUANG RAILWAY INSTITUTE	石家庄铁路学院
DALI UNIVERSITY	大理大学
BAYLOR UNIVERSITY	贝勒大学
NEW YORK STATE DEPARTMENT OF HEALTH	纽约州卫生局
WADSWORTH CENTER	沃思中心
UNIVERSITY OF DAYTON	代顿大学
MISSOURI STATE UNIVERSITY	密苏里州立大学
WEST CHESTER UNIVERSITY OF PENNSYLVANIA	宾州西彻斯特大学
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	美国环境保护局
RAILWAY INSTITUTE	铁路学院
SEMEL INSTITUTE FOR NEUROSCIENCE AND HUMAN BEHAVIOR	塞梅尔神经科学与人类行为研究所
CHONGQING NORMAL UNIVERSITY	重庆师范大学
SHANXI AGRICULTURAL UNIVERSITY	山西农业大学
YONSEI UNIVERSITY	延世大学
CENTRAL UNIVERSITY OF FINANCE AND ECONOMICS	中央财经大学
LA JOLLA INSTITUTE FOR ALLERGY AND IMMUNOLOGY	拉霍亚过敏和免疫学研究所
UNIVERSITY OF GRONINGEN	格罗宁根大学
CSL BEHRING	杰特贝林公司
MESA+ INSTITUTE FOR NANOTECHNOLOGY	梅萨纳米技术研究所
QUEENS COLLEGE	皇后学院
COURANT INSTITUTE OF MATHEMATICAL SCIENCES	库朗数学科学研究院
HUSKY ENERGY	赫斯基能源
ANDREW CORPORATION	安德鲁公司
NATIONAL TAITUNG UNIVERSITY	国立台东大学
INSTITUT DE PHYSIQUE DU GLOBE DE PARIS	巴黎世界体质研究所
YUKAWA INSTITUTE FOR THEORETICAL PHYSICS	汤川理论物理研究所
AGRESEARCH	AGRESEARCH
KYOTO PHARMACEUTICAL UNIVERSITY	京都制药大学
DANKOOK UNIVERSITY	檀国大学
TONGJI MEDICAL COLLEGE	同济医科大学
INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS	国际理论物理学中心
INDUSTRIAL RESEARCH INSTITUTE	工业研究所
GENERAL INSTRUMENT	通用仪器
ROCKWELL AUTOMATION	罗克韦尔自动化
ASTRON	科学
BOOZ ALLEN HAMILTON	艾伦. 汉密尔顿
IWATE UNIVERSITY	岩手大学
UNIVERSITY OF HUDDERSFIELD	哈德斯菲尔德大学
AVIATION INDUSTRY CORPORATION OF CHINA	中国航空工业公司
SCOTTISH CROP RESEARCH INSTITUTE	苏格兰作物研究所
OKLAHOMA MEDICAL RESEARCH FOUNDATION	俄克拉何马州医学研究基金会
AIX-MARSEILLE UNIVERSITY	艾克斯-马赛大学
JIANGXI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	江西中医药大学
GLENN RESEARCH CENTER	格伦研究中心
VERTEX PHARMACEUTICALS	顶点药物
CALIFORNIA STATE UNIVERSITY, LOS ANGELES	加州州立大学洛杉矶分校
TEIKYO HEISEI UNIVERSITY	帝京平成大学
HSIUPING UNIVERSITY OF SCIENCE AND TECHNOLOGY	HSIUPING 科技大学
JUNIOR COLLEGE	大专
REHABILITATION INSTITUTE OF CHICAGO	芝加哥康复学院
WESTERN KENTUCKY UNIVERSITY	西肯塔基大学
CIVIL AVIATION UNIVERSITY OF CHINA	中国民用航空大学
NATIONAL ACADEMY OF SCIENCES OF UKRAINE	乌克兰国家科学院
OITA UNIVERSITY	大分大学
IMPAX LABORATORIES	IMPAX 实验室
UNIVERSITY OF PADUA	帕多瓦大学
COLUMBIA COLLEGE	哥伦比亚学院
LUDWIG MAXIMILIAN UNIVERSITY OF MUNICH	慕尼黑大学
ALBERTA HEALTH SERVICES	艾伯塔省卫生服务
PURPLE MOUNTAIN OBSERVATORY	紫山天文台
JET PROPULSION LABORATORY	喷气推进实验室
ITRON	埃创
INTERNATIONAL SCHOOL FOR ADVANCED STUDIES	国际高级研究学校
UNIVERSITY OF BREMEN	不来梅大学
QIMR BERGHOFER MEDICAL RESEARCH INSTITUTE	QIMR BERGHOFER 医学研究院
COLLEGE OF INDUSTRIAL TECHNOLOGY	工业技术学院
CHINA TELECOM	中国电信
BABRAHAM INSTITUTE	BABRAHAM 研究所
EXA CORPORATION	公司
MOLECULAR SCIENCES INSTITUTE	分子科学研究所
PIERRE-AND-MARIE-CURIE UNIVERSITY	皮埃尔和玛丽-居里夫人大学
MARSHALL SPACE FLIGHT CENTER	马歇尔太空飞行中心
LEIPZIG UNIVERSITY	莱比锡大学
UNIVERSITY COLLEGE DUBLIN	都柏林大学学院
BROCK UNIVERSITY	布洛克大学
TOYOHASHI UNIVERSITY OF TECHNOLOGY	丰桥理工大学
SAGA UNIVERSITY	佐贺大学
UNIVERSITY OF TOKUSHIMA	德岛大学
UTRECHT UNIVERSITY	乌得勒支大学
ISTITUTO ITALIANO DI TECNOLOGIA	马兰戈尼意大利迪意大利
PUBLIC HEALTH RESEARCH INSTITUTE	公共卫生研究所
MOLECULAR PROBES	分子探针
KYUNGPOOK NATIONAL UNIVERSITY	庆北大学国立大学
THE AEROSPACE CORPORATION	航空航天公司
CLARKSON COLLEGE	克拉克学院
GUANGDONG PHARMACEUTICAL UNIVERSITY	广东医药大学
ENI	埃尼
RIO TINTO GROUP	力拓集团
UNIVERSITY OF CAEN LOWER NORMANDY	卡昂大学下诺曼底分校
UNIVERSITY OF ROUEN	鲁昂大学
HALOZYME THERAPEUTICS	郝马克疗法
CHINA UNIVERSITY OF TECHNOLOGY	中国理工大学
FRITZ HABER INSTITUTE OF THE MAX PLANCK SOCIETY	马克斯-普朗克学会哈伯研究所
WORLD HEALTH ORGANIZATION	世界卫生组织
LIBIN CARDIOVASCULAR INSTITUTE OF ALBERTA	张利宾心血管研究所
SCOTTISH ENVIRONMENT PROTECTION AGENCY	苏格兰环境保护局
ITER	Iter
ANHUI AGRICULTURAL UNIVERSITY	安徽农业大学
ZHEJIANG UNIVERSITY OF SCIENCE AND TECHNOLOGY	浙江科技大学
OFFICE OF TECHNOLOGY TRANSFER	技术转让办公室
DELAWARE BIOTECHNOLOGY INSTITUTE	特拉华州生物技术研究所
BROOKHAVEN COLLEGE	布鲁克黑文学院
CAS-MPG PARTNER INSTITUTE FOR COMPUTATIONAL BIOLOGY	CAS-MPG 计算生物学合作伙伴研究所
COLLEGE OF HEALTH SCIENCES, BAHRAIN	巴林健康科学学院
NEW YORK CITY DEPARTMENT OF HEALTH AND MENTAL HYGIENE	纽约市卫生和精神卫生司
AIRLANGGA UNIVERSITY	艾雅蓝加大学
CALIFORNIA DEPARTMENT OF TRANSPORTATION	加利福尼亚交通运输部
IMEC	IMEC
PAUL SCHERRER INSTITUTE	保罗谢瑞研究所
NATIONAL PRESTO INDUSTRIES	全国普雷斯托工业公司
UNIVERSITY OF BAYREUTH	拜罗伊特大学
MEDIMMUNE	MEDIMMUNE
